notebook,status,start,end,exit_code
model_arma_tr.ipynb,ok,2026-05-14T11:17:21.1567672+03:00,2026-05-14T11:19:21.1315514+03:00,0
model_ols_tr.ipynb,ok,2026-05-14T11:19:21.1385482+03:00,2026-05-14T11:20:19.3148071+03:00,0
model_var_tr.ipynb,ok,2026-05-14T11:20:19.3188083+03:00,2026-05-14T11:21:04.5100107+03:00,0
model_lasso_tr.ipynb,ok,2026-05-14T11:21:04.5140098+03:00,2026-05-14T11:22:23.6482163+03:00,0
model_ridge_tr.ipynb,ok,2026-05-14T11:22:23.6602188+03:00,2026-05-14T11:23:55.1371362+03:00,0
model_elasticnet_tr.ipynb,ok,2026-05-14T11:23:55.1701419+03:00,2026-05-14T11:25:50.8951239+03:00,0
model_rf_tr.ipynb,ok,2026-05-14T11:25:50.9031232+03:00,2026-05-14T12:59:38.7265611+03:00,0
model_xgboost_tr.ipynb,ok,2026-05-14T12:59:38.7955646+03:00,2026-05-14T13:40:49.0927415+03:00,0
model_gb_tr.ipynb,ok,2026-05-14T13:40:49.2477408+03:00,2026-05-14T14:15:36.1721896+03:00,0
model_dt_tr.ipynb,ok,2026-05-14T14:15:36.2501887+03:00,2026-05-14T14:17:24.9964647+03:00,0
model_mlp_tr.ipynb,ok,2026-05-14T14:17:25.0024709+03:00,2026-05-14T19:09:41.2430657+03:00,0
model_lstm_tr.ipynb,ok,2026-05-14T19:09:41.2900685+03:00,2026-05-14T20:18:38.4837477+03:00,0
model_deepvar_tr.ipynb,ok,2026-05-14T20:18:38.5247480+03:00,2026-05-14T20:19:52.2211108+03:00,0
model_bvar_tr.ipynb,ok,2026-05-14T20:19:52.2301132+03:00,2026-05-14T20:22:20.3539704+03:00,0
model_midas_tr.ipynb,ok,2026-05-14T20:22:20.3589356+03:00,2026-05-14T20:24:00.7162000+03:00,0
