notebook,status,start,end,exit_code
model_rf.ipynb,ok,2026-05-14T00:02:50.1360523+03:00,2026-05-14T01:28:57.2789719+03:00,0
model_xgboost.ipynb,ok,2026-05-14T01:28:57.3459730+03:00,2026-05-14T02:35:28.0581567+03:00,0
model_gb.ipynb,ok,2026-05-14T02:35:28.0821639+03:00,2026-05-14T02:53:58.4762404+03:00,0
model_dt.ipynb,ok,2026-05-14T02:53:58.4812416+03:00,2026-05-14T02:55:02.0599548+03:00,0
model_mlp.ipynb,ok,2026-05-14T02:55:02.0639570+03:00,2026-05-14T04:37:05.9677932+03:00,0
model_lstm.ipynb,ok,2026-05-14T04:37:05.9717992+03:00,2026-05-14T05:36:43.9633169+03:00,0
model_deepvar.ipynb,ok,2026-05-14T05:36:44.0173168+03:00,2026-05-14T05:38:37.8366157+03:00,0
model_bvar.ipynb,ok,2026-05-14T05:38:37.8396200+03:00,2026-05-14T06:08:30.5926284+03:00,0
model_midas.ipynb,ok,2026-05-14T06:08:30.5976297+03:00,2026-05-14T06:13:17.3457612+03:00,0
model_midasml.ipynb,ok,2026-05-14T06:13:17.3537647+03:00,2026-05-14T06:24:43.5678995+03:00,0
model_dfm.ipynb,ok,2026-05-14T06:24:43.5759020+03:00,2026-05-14T06:49:09.2058975+03:00,0
