Date,icsa_weekly,nfci_weekly,dtwexbgs,dtwexm,covid_2020q2,covid_2020q3,covid_2020q4
1967-01-07,,,,,0,0,0
1967-01-14,-0.0048192864359482,,,,0,0,0
1967-01-21,0.04717856027509093,,,,0,0,0
1967-01-28,-0.06177735969624365,,,,0,0,0
1967-02-04,0.05715841383994835,,,,0,0,0
1967-02-11,0.05844359587007375,,,,0,0,0
1967-02-18,0.0,,,,0,0,0
1967-02-25,0.05521572260244767,,,,0,0,0
1967-03-04,0.24763457132250544,,,,0,0,0
1967-03-11,-0.2517753639885374,,,,0,0,0
1967-03-18,0.016461277054071743,,,,0,0,0
1967-03-25,0.008130126083250033,,,,0,0,0
1967-04-01,0.0474397250715608,,,,0,0,0
1967-04-08,-0.007751976804318161,,,,0,0,0
1967-04-15,0.15136748849546677,,,,0,0,0
1967-04-22,-0.19918536284595945,,,,0,0,0
1967-04-29,0.04000533461369926,,,,0,0,0
1967-05-06,-0.003929278139889192,,,,0,0,0
1967-05-13,-0.09491655649674335,,,,0,0,0
1967-05-20,-0.004338401598596775,,,,0,0,0
1967-05-27,-0.008733679968756292,,,,0,0,0
1967-06-03,0.0840831172105414,,,,0,0,0
1967-06-10,-0.04115807249350745,,,,0,0,0
1967-06-17,-0.06062462181643369,,,,0,0,0
1967-06-24,-0.027150989065951592,,,,0,0,0
1967-07-01,-0.04216081082427792,,,,0,0,0
1967-07-08,0.13830467137718117,,,,0,0,0
1967-07-15,0.004158010148662683,,,,0,0,0
1967-07-22,-0.004158010148662683,,,,0,0,0
1967-07-29,-0.13830467137718117,,,,0,0,0
1967-08-05,0.055828449552942416,,,,0,0,0
1967-08-12,-0.08989500411654916,,,,0,0,0
1967-08-19,0.062370330726459144,,,,0,0,0
1967-08-26,-0.009345862418237871,,,,0,0,0
1967-09-02,0.023202897079663387,,,,0,0,0
1967-09-09,0.05792264773270439,,,,0,0,0
1967-09-16,-0.04879016416943216,,,,0,0,0
1967-09-23,-0.05129329438755015,,,,0,0,0
1967-09-30,-0.024214258120593968,,,,0,0,0
1967-10-07,0.12429771667757628,,,,0,0,0
1967-10-14,-0.11454154173221198,,,,0,0,0
1967-10-21,0.07929560267053759,,,,0,0,0
1967-10-28,-0.07445297819474916,,,,0,0,0
1967-11-04,0.06995858860691051,,,,0,0,0
1967-11-11,-0.03670136685042813,,,,0,0,0
1967-11-18,-0.07770898432731599,,,,0,0,0
1967-11-25,-0.03599360264790619,,,,0,0,0
1967-12-02,0.025841231183887814,,,,0,0,0
1967-12-09,0.12004804228723565,,,,0,0,0
1967-12-16,-0.08004270767353638,,,,0,0,0
1967-12-23,0.07095173597228488,,,,0,0,0
1967-12-30,-0.013793322132336527,,,,0,0,0
1968-01-06,0.027398974188114877,,,,0,0,0
1968-01-13,0.0,,,,0,0,0
1968-01-20,-0.0045146803545268455,,,,0,0,0
1968-01-27,-0.10989567082321727,,,,0,0,0
1968-02-03,0.20890119459866519,,,,0,0,0
1968-02-10,-0.1500606945757319,,,,0,0,0
1968-02-17,-0.06899287148695166,,,,0,0,0
1968-02-24,-0.0154244703256321,,,,0,0,0
1968-03-02,-0.01566611674439855,,,,0,0,0
1968-03-09,0.07109592168372991,,,,0,0,0
1968-03-16,-0.07109592168372991,,,,0,0,0
1968-03-23,0.05129329438755015,,,,0,0,0
1968-03-30,-0.0408219945202557,,,,0,0,0
1968-04-06,-0.005221943981151611,,,,0,0,0
1968-04-13,-0.11060987154396962,,,,0,0,0
1968-04-20,0.06782259633876109,,,,0,0,0
1968-04-27,0.3159667862903621,,,,0,0,0
1968-05-04,-0.18311868716697255,,,,0,0,0
1968-05-11,-0.07447609290148272,,,,0,0,0
1968-05-18,0.025446665661164047,,,,0,0,0
1968-05-25,-0.025446665661164047,,,,0,0,0
1968-06-01,0.025446665661164047,,,,0,0,0
1968-06-08,-0.035809452696710764,,,,0,0,0
1968-06-15,0.010362787035546717,,,,0,0,0
1968-06-22,-0.026111144003685638,,,,0,0,0
1968-06-29,0.026111144003685638,,,,0,0,0
1968-07-06,0.09811785595852385,,,,0,0,0
1968-07-13,-0.1402293413086504,,,,0,0,0
1968-07-20,-0.032789822822991255,,,,0,0,0
1968-07-27,0.13005312824819804,,,,0,0,0
1968-08-03,0.004866189651172803,,,,0,0,0
1968-08-10,0.05661889399950759,,,,0,0,0
1968-08-17,-0.12699969076130735,,,,0,0,0
1968-08-24,0.0051948168771041026,,,,0,0,0
1968-08-31,-0.026248226074935488,,,,0,0,0
1968-09-07,0.005305052229692464,,,,0,0,0
1968-09-14,0.031252543504104224,,,,0,0,0
1968-09-21,-0.020726130517116914,,,,0,0,0
1968-09-28,-0.01052641298698731,,,,0,0,0
1968-10-05,-0.021391189981317282,,,,0,0,0
1968-10-12,0.005390848634876377,,,,0,0,0
1968-10-19,0.026526754333428215,,,,0,0,0
1968-10-26,-0.04826674096983474,,,,0,0,0
1968-11-02,-0.00550965581096996,,,,0,0,0
1968-11-09,0.010989121575596172,,,,0,0,0
1968-11-16,0.04800921918636014,,,,0,0,0
1968-11-23,0.035809452696710764,,,,0,0,0
1968-11-30,-0.20570848949210863,,,,0,0,0
1968-12-07,0.14884562759756648,,,,0,0,0
1968-12-14,0.03655759573379669,,,,0,0,0
1968-12-21,-0.015504186535965303,,,,0,0,0
1968-12-28,0.14967639943233735,,,,0,0,0
