country,model,vintage,panel,n_obs,RMSFE,MAE,rel_RMSFE_vs_ARMA,dm_stat_vs_ARMA,dm_pval_vs_ARMA
us,arma,m1,pre_covid,12,0.0031001204844641104,0.00254042592233835,1.0,,
us,arma,m1,covid,7,0.047123409808560994,0.03385572163242581,1.0,,
us,arma,m1,post_covid,16,0.0046392219654833415,0.003436691284553344,1.0,,
us,arma,m1,full,36,0.02139918110856154,0.00956668876372337,1.0,,
us,arma,m2,pre_covid,12,0.0031001204844641104,0.00254042592233835,1.0,,
us,arma,m2,covid,7,0.047123409808560994,0.03385572163242581,1.0,,
us,arma,m2,post_covid,16,0.0046392219654833415,0.003436691284553344,1.0,,
us,arma,m2,full,36,0.02139918110856154,0.00956668876372337,1.0,,
us,arma,m3,pre_covid,12,0.0027224513504587517,0.0022427490998379413,1.0,,
us,arma,m3,covid,7,0.051024882751906336,0.03227649266390366,1.0,,
us,arma,m3,post_covid,16,0.004742116918527303,0.0036004015257376813,1.0,,
us,arma,m3,full,36,0.023053514476503983,0.009219000547261762,1.0,,
us,ols,m1,pre_covid,12,0.0026778946808075754,0.002125655126156817,0.8638034212629896,-2.0374443218558436,0.041605536148603184
us,ols,m1,covid,7,0.042807447492022824,0.026865554083719313,0.9084115021796644,-1.795935736639181,0.07250473806690394
us,ols,m1,post_covid,16,0.004412039748063148,0.003319656902808925,0.9510301039462068,-1.256271589934074,0.209017518646903
us,ols,m1,full,36,0.019469579579260564,0.007978082352853657,0.9098282537302809,-1.6737902616520224,0.09417182691349413
us,ols,m2,pre_covid,12,0.0027164524224839726,0.0021674762913165336,0.8762409190536803,-1.9879558031415547,0.04681657822251184
us,ols,m2,covid,7,0.04268578614332123,0.02680315933825034,0.9058297418784502,-1.8618949470176,0.06261789944206853
us,ols,m2,post_covid,16,0.004459652365257125,0.0033496552886967124,0.9612931647672287,-1.0094016686276805,0.3127820385339266
us,ols,m2,full,36,0.0194255606838571,0.007994519012838295,0.907771217286683,-1.7071555432115815,0.08779314565017482
us,ols,m3,pre_covid,12,0.0026646434516544573,0.0020757712811917332,0.9787662325739803,-0.3395288456581534,0.7342113705729467
us,ols,m3,covid,7,0.04280810156941008,0.026759890351712095,0.8389652118859741,-0.8854600465828002,0.3759085590455107
us,ols,m3,post_covid,16,0.004501320046984483,0.0033536022298773878,0.9492216502292395,-3.0075503578404037,0.002633624866225759
us,ols,m3,full,36,0.019488858601966814,0.007965897652131342,0.845374731120921,-0.9075891294767384,0.36409533972269204
us,var,m1,pre_covid,12,0.002750396154902831,0.0021608399861709417,0.8871900846067494,-2.375656163214901,0.017517777995459838
us,var,m1,covid,7,0.04309847261683099,0.027761632943197785,0.9145873100422629,-1.7531719471749843,0.07957249674005817
us,var,m1,post_covid,16,0.004357195826872791,0.0033099938706536497,0.939208311068348,-1.6182463526903308,0.10560951706330801
us,var,m1,full,36,0.01959298427907134,0.008160770775192455,0.9155950491597286,-1.6516799247268406,0.09859981723894817
us,var,m2,pre_covid,12,0.0027476645478278455,0.002164788880075275,0.8863089552801072,-2.3164071184371684,0.020536050456017252
us,var,m2,covid,7,0.0431024557043755,0.027736268046317628,0.9146718346460786,-1.7493082240149325,0.08023775515633647
us,var,m2,post_covid,16,0.004348313813941326,0.0032803734176730438,0.937293763112344,-1.7154909775058422,0.08625524818738906
us,var,m2,full,36,0.019593884693655,0.008144182258388609,0.915637126217682,-1.6499353772052907,0.09895615406242819
us,var,m3,pre_covid,12,0.0033201279331475193,0.002879088294298625,1.2195361847652686,2.0104683636007437,0.0443816413065492
us,var,m3,covid,7,0.06330484294580001,0.04541357120859117,1.2406661129159553,0.6328611439537659,0.5268243238036168
us,var,m3,post_covid,16,0.0048360091969597355,0.0037753566473311996,1.0197996548894859,0.12738467015360302,0.8986359488391347
us,var,m3,full,36,0.028388427535853723,0.012059597452889752,1.2314143062563,0.6600852539797346,0.5091991210494573
us,lasso,m1,pre_covid,12,0.0028100673135216894,0.0021717336264631334,0.9064380973591225,-1.3288433859938042,0.18389964499764866
