country,model,vintage,panel,n_obs,RMSFE,MAE,rel_RMSFE_vs_ARMA,dm_stat_vs_ARMA,dm_pval_vs_ARMA
us,arma,m1,pre_covid,12,0.0031001204844641104,0.00254042592233835,1.0,,
us,arma,m1,covid,7,0.047123409808560994,0.03385572163242581,1.0,,
us,arma,m1,post_covid,16,0.0046392219654833415,0.003436691284553344,1.0,,
us,arma,m1,full,36,0.02139918110856154,0.00956668876372337,1.0,,
us,arma,m1,full_ex_2020q2,35,0.015441442591871645,0.007262258620499941,1.0,,
us,arma,m1,non_covid,29,0.005696302528269556,0.003703818760933124,1.0,,
us,arma,m2,pre_covid,12,0.0031001204844641104,0.00254042592233835,1.0,,
us,arma,m2,covid,7,0.047123409808560994,0.03385572163242581,1.0,,
us,arma,m2,post_covid,16,0.0046392219654833415,0.003436691284553344,1.0,,
us,arma,m2,full,36,0.02139918110856154,0.00956668876372337,1.0,,
us,arma,m2,full_ex_2020q2,35,0.015441442591871645,0.007262258620499941,1.0,,
us,arma,m2,non_covid,29,0.005696302528269556,0.003703818760933124,1.0,,
us,arma,m3,pre_covid,12,0.0027224513504587517,0.0022427490998379413,1.0,,
us,arma,m3,covid,7,0.051024882751906336,0.03227649266390366,1.0,,
us,arma,m3,post_covid,16,0.004742116918527303,0.0036004015257376813,1.0,,
us,arma,m3,full,36,0.023053514476503983,0.009219000547261762,1.0,,
us,arma,m3,full_ex_2020q2,35,0.01852108145341986,0.007070413993619507,1.0,,
us,arma,m3,non_covid,29,0.005595418233239221,0.0036533990018654413,1.0,,
us,arma,post1,pre_covid,12,0.0027224513504587517,0.0022427490998379413,1.0,,
us,arma,post1,covid,7,0.051024882751906336,0.03227649266390366,1.0,,
us,arma,post1,post_covid,16,0.004742116918527303,0.0036004015257376813,1.0,,
us,arma,post1,full,36,0.023053514476503983,0.009219000547261762,1.0,,
us,arma,post1,full_ex_2020q2,35,0.01852108145341986,0.007070413993619507,1.0,,
us,arma,post1,non_covid,29,0.005595418233239221,0.0036533990018654413,1.0,,
us,ols,m1,pre_covid,12,0.0027360420154974876,0.0021634369254758335,0.8825598970133066,-1.3245467866374763,0.18532151536988284
us,ols,m1,covid,7,0.04275639601728844,0.026769934990104816,0.9073281452039748,-1.8111196579672888,0.07012233118792643
us,ols,m1,post_covid,16,0.004499500100350206,0.0033536304273268564,0.9698824789646427,-0.8867376787744066,0.37522014750459
us,ols,m1,full,36,0.019467458802983895,0.007994814719326303,0.9097291482427433,-1.6657380266424757,0.09576560447519977
us,ols,m1,full_ex_2020q2,35,0.01266747789440053,0.005663410927978242,0.8203558585302563,-1.5992535988333163,0.1097642651769315
us,ols,m1,non_covid,29,0.005403014733624419,0.0034628891367245924,0.9485126021327676,-1.7049416056802866,0.08820531572449952
us,ols,m2,pre_covid,12,0.0027280894860180673,0.00214846331518895,0.8799946646233807,-1.554614017796373,0.12003802323983503
us,ols,m2,covid,7,0.0427042596756228,0.02678606378098754,0.906221766402495,-1.8502567469270195,0.06427655350849903
us,ols,m2,post_covid,16,0.004523186215901624,0.0034162489956631936,0.974988101357287,-0.6935117199807738,0.4879884734171156
us,ols,m2,full,36,0.019445520991301413,0.008019158465732501,0.9087039776265787,-1.68956676410801,0.09111086890523601
us,ols,m2,full_ex_2020q2,35,0.012693147712316383,0.005696997750709706,0.8220182561827506,-1.5932343507900992,0.11110762782905659
us,ols,m2,non_covid,29,0.005404473744938046,0.0034892158034295624,0.948768735178087,-1.636104289103836,0.10181776269894582
us,ols,m3,pre_covid,12,0.002662180990768796,0.0020722581548404087,0.9778617312372544,-0.3551660279791059,0.7224652135211658
us,ols,m3,covid,7,0.04264125647113706,0.026856370848821313,0.835695334734384,-0.9043184841394725,0.3658265482472125
us,ols,m3,post_covid,16,0.004510649374076278,0.0034107653056280754,0.9511889840702391,-2.309883124182161,0.020894625609042983
us,ols,m3,full,36,0.01941851926261433,0.008008950998782552,0.8423235980963155,-0.924619399744814,0.3551639182873887
us,ols,m3,full_ex_2020q2,35,0.012717558400375537,0.005696033655269516,0.6866531218687169,-1.0691588624055528,0.28499809184246994
