series,name,freq,block_g,block_s,block_r,block_l,months_lag
rpi,RPI,m,1,0,1,0,1
w875rx1,W875RX1,m,1,0,1,0,1
dpcera3m086sbea,DPCERA3M086SBEA,m,1,0,1,0,1
cmrmtsplx,CMRMTSPLX,m,1,0,1,0,1
retailx,RETAILX,m,1,0,1,0,1
indpro,INDPRO,m,1,0,1,0,0
ipfpnss,IPFPNSS,m,1,0,1,0,1
ipfinal,IPFINAL,m,1,0,1,0,1
ipcongd,IPCONGD,m,1,0,1,0,1
ipdcongd,IPDCONGD,m,1,0,1,0,1
ipncongd,IPNCONGD,m,1,0,1,0,1
ipbuseq,IPBUSEQ,m,1,0,1,0,1
ipmat,IPMAT,m,1,0,1,0,1
ipdmat,IPDMAT,m,1,0,1,0,1
ipnmat,IPNMAT,m,1,0,1,0,1
ipmansics,IPMANSICS,m,1,0,1,0,1
ipb51222s,IPB51222S,m,1,0,1,0,1
ipfuels,IPFUELS,m,1,0,1,0,1
cumfns,CUMFNS,m,1,0,1,0,1
hwi,HWI,m,1,1,0,1,0
hwiuratio,HWIURATIO,m,1,1,0,1,0
clf16ov,CLF16OV,m,1,0,0,1,1
ce16ov,CE16OV,m,1,0,0,1,0
unrate,UNRATE,m,1,0,0,1,0
uempmean,UEMPMEAN,m,1,0,0,1,0
uemplt5,UEMPLT5,m,1,0,0,1,0
uemp5to14,UEMP5TO14,m,1,0,0,1,0
uemp15ov,UEMP15OV,m,1,0,0,1,0
uemp15t26,UEMP15T26,m,1,0,0,1,0
uemp27ov,UEMP27OV,m,1,0,0,1,0
claimsx,CLAIMSX,m,1,0,0,1,0
payems,PAYEMS,m,1,0,0,1,0
usgood,USGOOD,m,1,0,0,1,0
ces1021000001,CES1021000001,m,1,0,0,1,0
uscons,USCONS,m,1,0,0,1,0
manemp,MANEMP,m,1,0,0,1,0
dmanemp,DMANEMP,m,1,0,0,1,0
ndmanemp,NDMANEMP,m,1,0,0,1,0
srvprd,SRVPRD,m,1,0,0,1,0
ustpu,USTPU,m,1,0,0,1,0
uswtrade,USWTRADE,m,1,0,0,1,0
ustrade,USTRADE,m,1,0,0,1,0
usfire,USFIRE,m,1,0,0,1,0
usgovt,USGOVT,m,1,0,0,1,0
ces0600000007,CES0600000007,m,1,0,0,1,0
awotman,AWOTMAN,m,1,0,0,1,0
awhman,AWHMAN,m,1,0,0,1,0
houst,HOUST,m,1,0,1,0,1
houstne,HOUSTNE,m,1,0,1,0,1
houstmw,HOUSTMW,m,1,0,1,0,1
housts,HOUSTS,m,1,0,1,0,1
houstw,HOUSTW,m,1,0,1,0,1
permit,PERMIT,m,1,0,1,0,1
permitne,PERMITNE,m,1,0,1,0,1
permitmw,PERMITMW,m,1,0,1,0,1
permits,PERMITS,m,1,0,1,0,1
permitw,PERMITW,m,1,0,1,0,1
acogno,ACOGNO,m,1,0,1,0,1
amdmnox,AMDMNOX,m,1,0,1,0,1
andenox,ANDENOX,m,1,0,1,0,1
amdmuox,AMDMUOX,m,1,0,1,0,1
businvx,BUSINVX,m,1,0,1,0,1
isratiox,ISRATIOX,m,1,0,1,0,1
m1sl,M1SL,m,1,0,0,0,1
m2sl,M2SL,m,1,0,0,0,1
m2real,M2REAL,m,1,0,0,0,1
bogmbase,BOGMBASE,m,1,0,0,0,1
totresns,TOTRESNS,m,1,0,0,0,1
nonborres,NONBORRES,m,1,0,0,0,1
busloans,BUSLOANS,m,1,0,0,0,1
realln,REALLN,m,1,0,0,0,1
nonrevsl,NONREVSL,m,1,0,0,0,1
conspi,CONSPI,m,1,0,0,0,1
s&p 500,S&P 500,m,1,0,0,0,0
s&p div yield,S&P DIV YIELD,m,1,0,0,0,0
s&p pe ratio,S&P PE RATIO,m,1,0,0,0,0
fedfunds,FEDFUNDS,m,1,0,0,0,0
cp3mx,CP3MX,m,1,0,0,0,0
tb3ms,TB3MS,m,1,0,0,0,0
tb6ms,TB6MS,m,1,0,0,0,0
gs1,GS1,m,1,0,0,0,0
gs5,GS5,m,1,0,0,0,0
gs10,GS10,m,1,0,0,0,0
aaa,AAA,m,1,0,0,0,0
baa,BAA,m,1,0,0,0,0
compapffx,COMPAPFFX,m,1,0,0,0,0
tb3smffm,TB3SMFFM,m,1,0,0,0,0
tb6smffm,TB6SMFFM,m,1,0,0,0,0
t1yffm,T1YFFM,m,1,0,0,0,0
t5yffm,T5YFFM,m,1,0,0,0,0
t10yffm,T10YFFM,m,1,0,0,0,0
aaaffm,AAAFFM,m,1,0,0,0,0
baaffm,BAAFFM,m,1,0,0,0,0
twexafegsmthx,TWEXAFEGSMTHX,m,1,0,0,0,0
exszusx,EXSZUSX,m,1,0,0,0,0
exjpusx,EXJPUSX,m,1,0,0,0,0
exusukx,EXUSUKX,m,1,0,0,0,0
excausx,EXCAUSX,m,1,0,0,0,0
wpsfd49207,WPSFD49207,m,1,0,1,0,1
wpsfd49502,WPSFD49502,m,1,0,1,0,1
wpsid61,WPSID61,m,1,0,1,0,1
wpsid62,WPSID62,m,1,0,1,0,1
oilpricex,OILPRICEX,m,1,0,1,0,1
ppicmm,PPICMM,m,1,0,1,0,1
cpiaucsl,CPIAUCSL,m,1,0,1,0,1
cpiappsl,CPIAPPSL,m,1,0,1,0,1
cpitrnsl,CPITRNSL,m,1,0,1,0,1
cpimedsl,CPIMEDSL,m,1,0,1,0,1
cusr0000sac,CUSR0000SAC,m,1,0,1,0,1
cusr0000sad,CUSR0000SAD,m,1,0,1,0,1
cusr0000sas,CUSR0000SAS,m,1,0,1,0,1
cpiulfsl,CPIULFSL,m,1,0,1,0,1
cusr0000sa0l2,CUSR0000SA0L2,m,1,0,1,0,1
cusr0000sa0l5,CUSR0000SA0L5,m,1,0,1,0,1
pcepi,PCEPI,m,1,0,1,0,1
ddurrg3m086sbea,DDURRG3M086SBEA,m,1,0,1,0,1
