"date","vintage","used_cat2_fallback","prediction_missing"
2017-03-01,"m1",FALSE,FALSE
2017-03-01,"m2",FALSE,FALSE
2017-03-01,"m3",FALSE,FALSE
2017-03-01,"post1",FALSE,FALSE
2017-06-01,"m1",FALSE,FALSE
2017-06-01,"m2",FALSE,FALSE
2017-06-01,"m3",FALSE,FALSE
2017-06-01,"post1",FALSE,FALSE
2017-09-01,"m1",FALSE,FALSE
2017-09-01,"m2",FALSE,FALSE
2017-09-01,"m3",FALSE,FALSE
2017-09-01,"post1",FALSE,FALSE
2017-12-01,"m1",FALSE,FALSE
2017-12-01,"m2",FALSE,FALSE
2017-12-01,"m3",FALSE,FALSE
2017-12-01,"post1",FALSE,FALSE
2018-03-01,"m1",FALSE,FALSE
2018-03-01,"m2",FALSE,FALSE
2018-03-01,"m3",FALSE,FALSE
2018-03-01,"post1",FALSE,FALSE
2018-06-01,"m1",FALSE,FALSE
2018-06-01,"m2",FALSE,FALSE
2018-06-01,"m3",FALSE,FALSE
2018-06-01,"post1",FALSE,FALSE
2018-09-01,"m1",FALSE,FALSE
2018-09-01,"m2",FALSE,FALSE
2018-09-01,"m3",FALSE,FALSE
2018-09-01,"post1",FALSE,FALSE
2018-12-01,"m1",FALSE,FALSE
2018-12-01,"m2",FALSE,FALSE
2018-12-01,"m3",FALSE,FALSE
2018-12-01,"post1",FALSE,FALSE
2019-03-01,"m1",FALSE,FALSE
2019-03-01,"m2",FALSE,FALSE
2019-03-01,"m3",FALSE,FALSE
2019-03-01,"post1",FALSE,FALSE
2019-06-01,"m1",FALSE,FALSE
2019-06-01,"m2",FALSE,FALSE
2019-06-01,"m3",FALSE,FALSE
2019-06-01,"post1",FALSE,FALSE
2019-09-01,"m1",FALSE,FALSE
2019-09-01,"m2",FALSE,FALSE
2019-09-01,"m3",FALSE,FALSE
2019-09-01,"post1",FALSE,FALSE
2019-12-01,"m1",FALSE,FALSE
2019-12-01,"m2",FALSE,FALSE
2019-12-01,"m3",FALSE,FALSE
2019-12-01,"post1",FALSE,FALSE
2020-03-01,"m1",FALSE,FALSE
2020-03-01,"m2",FALSE,FALSE
2020-03-01,"m3",FALSE,FALSE
2020-03-01,"post1",FALSE,FALSE
2020-06-01,"m1",FALSE,FALSE
2020-06-01,"m2",FALSE,FALSE
2020-06-01,"m3",FALSE,FALSE
2020-06-01,"post1",FALSE,FALSE
2020-09-01,"m1",FALSE,FALSE
2020-09-01,"m2",FALSE,FALSE
2020-09-01,"m3",FALSE,FALSE
2020-09-01,"post1",FALSE,FALSE
2020-12-01,"m1",FALSE,FALSE
2020-12-01,"m2",FALSE,FALSE
