date,1week-repo,bist100,ipi_sa,auto_prod,total_prod,bus_conf,cons_conf,cpi_sa,cur_sa,elec_prod,elec_cons,usd_try_avg,ppi,exp_vol_i,imp_vol_i,retail_sales_sa,retail_sales_nsa,house_sales_sa,commprop_sales_sa,total_prop_sales,loans,fin_acc,empl_num,unemp_num,emp_rate,unemp_rate,real_gdp_i,card_trans,card_pmt_i,card_pmt_i_r,hh_pmt,hh_pmt_r,reer,ngdprsaxdctrq,non_fin_firms_credits,household_credits,tax,exp_ind_auto,exp_ind_dg,imp_ind_auto,imp_ind_dg,maden_ciro_endeksi_sa,sanayi_ins_tic_ciro_sa,is_ekon_ciro_sa,tourist,auto_exp_vol_i,dg_exp_vol_i,auto_imp_vol_i,dg_imp_vol_i,resmi_rezerv_var,doviz_rezerv_var,altin_rezerv_var,m3,consu_i,deposit_i,covid_2020q2,covid_2020q3,covid_2020q4
1974-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1974-02-01,,,,735.0,1254.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1974-03-01,,,,-759.0,149.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1974-04-01,,,,1063.0,842.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1974-05-01,,,,-135.0,490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1974-06-01,,,,144.0,-150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1974-07-01,,,,527.0,-483.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1974-08-01,,,,-3195.0,-3844.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1974-09-01,,,,2907.0,5188.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1974-10-01,,,,-860.0,-1846.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1974-11-01,,,,1681.0,3783.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1974-12-01,,,,-1588.0,-2388.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1975-01-01,,,,1286.0,1762.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1975-02-01,,,,-475.0,-202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1975-03-01,,,,617.0,922.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1975-04-01,,,,-578.0,-591.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1975-05-01,,,,-356.0,-1172.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1975-06-01,,,,536.0,769.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1975-07-01,,,,570.0,-1114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1975-08-01,,,,-3649.0,-4136.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1975-09-01,,,,3488.0,6620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1975-10-01,,,,-1521.0,-3114.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1975-11-01,,,,1371.0,2660.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1975-12-01,,,,-306.0,543.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1976-01-01,,,,-81.0,-811.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1976-02-01,,,,1.0,-115.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1976-03-01,,,,1186.0,1992.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1976-04-01,,,,-860.0,-2049.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1976-05-01,,,,-946.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1976-06-01,,,,1681.0,1577.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1976-07-01,,,,-2383.0,-3362.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1976-08-01,,,,678.0,-1350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1976-09-01,,,,-303.0,2536.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1976-10-01,,,,976.0,1295.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1976-11-01,,,,-555.0,1017.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1976-12-01,,,,-4072.0,-4826.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0
1977-01-01,,,,958.0,357.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38975.0,,,,,,,,,,,0,0,0
1977-02-01,,,,2743.0,2873.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41435.0,,,,,,,,,,,0,0,0
1977-03-01,,,,994.0,1750.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77500.0,,,,,,,,,,,0,0,0
1977-04-01,,,,198.0,-280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122946.0,,,,,,,,,,,0,0,0
1977-05-01,,,,78.0,-1020.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138817.0,,,,,,,,,,,0,0,0
1977-06-01,,,,250.0,789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125417.0,,,,,,,,,,,0,0,0
1977-07-01,,,,-400.0,-3238.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,167801.0,,,,,,,,,,,0,0,0
1977-08-01,,,,-1804.0,-2979.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,195399.0,,,,,,,,,,,0,0,0
1977-09-01,,,,602.0,2343.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156950.0,,,,,,,,,,,0,0,0
1977-10-01,,,,-78.0,129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,128107.0,,,,,,,,,,,0,0,0
1977-11-01,,,,-276.0,-1810.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70288.0,,,,,,,,,,,0,0,0
1977-12-01,,,,-1596.0,-719.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49605.0,,,,,,,,,,,0,0,0
1978-01-01,,,,3267.0,1422.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37129.0,,,,,,,,,,,0,0,0
1978-02-01,,,,-1773.0,-1785.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27277.0,,,,,,,,,,,0,0,0
1978-03-01,,,,-954.0,-662.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68812.0,,,,,,,,,,,0,0,0
1978-04-01,,,,264.0,-93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,107250.0,,,,,,,,,,,0,0,0
1978-05-01,,,,1536.0,3221.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116357.0,,,,,,,,,,,0,0,0
1978-06-01,,,,-116.0,-470.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102544.0,,,,,,,,,,,0,0,0
1978-07-01,,,,-3038.0,-4701.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153985.0,,,,,,,,,,,0,0,0
1978-08-01,,,,2667.0,2310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,163964.0,,,,,,,,,,,0,0,0
1978-09-01,,,,361.0,1770.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157630.0,,,,,,,,,,,0,0,0
1978-10-01,,,,343.0,1402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,135633.0,,,,,,,,,,,0,0,0
1978-11-01,,,,-768.0,-907.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72885.0,,,,,,,,,,,0,0,0
1978-12-01,,,,127.0,814.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50844.0,,,,,,,,,,,0,0,0
1979-01-01,,,,-336.0,-1778.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25740.0,,,,,,,,,,,0,0,0
1979-02-01,,,,-561.0,297.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21350.0,,,,,,,,,,,0,0,0
1979-03-01,,,,-774.0,-510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39683.0,,,,,,,,,,,0,0,0
1979-04-01,,,,46.0,-456.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90203.0,,,,,,,,,,,0,0,0
1979-05-01,,,,562.0,752.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,119534.0,,,,,,,,,,,0,0,0
1979-06-01,,,,2.0,-843.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153359.0,,,,,,,,,,,0,0,0
1979-07-01,,,,-672.0,-1300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166323.0,,,,,,,,,,,0,0,0
1979-08-01,,,,1539.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181475.0,,,,,,,,,,,0,0,0
1979-09-01,,,,-701.0,1122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,113639.0,,,,,,,,,,,0,0,0
1979-10-01,,,,-1430.0,-1578.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99982.0,,,,,,,,,,,0,0,0
1979-11-01,,,,948.0,1546.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52310.0,,,,,,,,,,,0,0,0
1979-12-01,,,,1470.0,1235.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38379.0,,,,,,,,,,,0,0,0
1980-01-01,,,,-2612.0,-3713.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24338.0,,,,,,,,,,,0,0,0
1980-02-01,,,,671.0,1146.0,,,,,,,0.4884585936190948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26869.0,,,,,,,,,,,0,0,0
1980-03-01,,,,968.0,696.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111780.0,,,,,,,,,,,0,0,0
1980-04-01,,,,-782.0,-511.0,,,,,,,0.04906223599807191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67694.0,,,,,,,,,,,0,0,0
1980-05-01,,,,1077.0,938.0,,,,,,,0.0024453211478601133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99890.0,,,,,,,,,,,0,0,0
1980-06-01,,,,-1211.0,-1208.0,,,,,,,0.043542848660308664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100787.0,,,,,,,,,,,0,0,0
1980-07-01,,,,-1940.0,-2748.0,,,,,,,0.013163178833991651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,155014.0,,,,,,,,,,,0,0,0
