country,model,vintage,panel,n_obs,RMSFE,MAE,rel_RMSFE_vs_ARMA,dm_stat_vs_ARMA,dm_pval_vs_ARMA
tr,arma,m1,pre_crisis,8,0.019041274369796208,0.014262772560007426,1.0,,
tr,arma,m1,covid,7,0.07253668157121765,0.05258731446883097,1.0,,
tr,arma,m1,post_covid,16,0.011679047443456738,0.007745778349075005,1.0,,
tr,arma,m1,full,32,0.036220272495991926,0.019198051572106724,1.0,,
tr,arma,m2,pre_crisis,8,0.019041274369796208,0.014262772560007426,1.0,,
tr,arma,m2,covid,7,0.07253668157121765,0.05258731446883097,1.0,,
tr,arma,m2,post_covid,16,0.011679047443456738,0.007745778349075005,1.0,,
tr,arma,m2,full,32,0.036220272495991926,0.019198051572106724,1.0,,
tr,arma,m3,pre_crisis,8,0.018588292715064705,0.015067912512525802,1.0,,
tr,arma,m3,covid,7,0.07602674706443191,0.05108760950988691,1.0,,
tr,arma,m3,post_covid,16,0.011574181976477112,0.007797674123978637,1.0,,
tr,arma,m3,full,32,0.03767183380171374,0.01905155428671472,1.0,,
tr,ols,m1,pre_crisis,8,0.020740083629738896,0.013984490787113937,1.0892172040038133,0.47337542111264774,0.6359453622349045
tr,ols,m1,covid,7,0.05978891104566196,0.04094235142262702,0.8242575997491735,-0.7523587569319007,0.4518353419040333
tr,ols,m1,post_covid,16,0.040195580718286404,0.030322817854022882,3.4416831435003923,2.4219093788932797,0.015439200121492913
tr,ols,m1,full,32,0.04127190043012924,0.028047440128966716,1.1394696280845573,0.6572668081603771,0.5110093747620403
tr,ols,m2,pre_crisis,8,0.01576680433787747,0.014315850961191102,0.8280330418896337,-0.4805283743012506,0.6308517321867857
tr,ols,m2,covid,7,0.040077312289926864,0.027363889149285864,0.5525109699232427,-1.7467710805475891,0.08067705491153476
tr,ols,m2,post_covid,16,0.027934710944416272,0.022837542696886405,2.391865524963414,2.3591310615206846,0.018317785092296868
tr,ols,m2,full,32,0.0286403057988496,0.021703627723771962,0.790725851165777,-0.8974445751900019,0.36948173593871014
tr,ols,m3,pre_crisis,8,0.01771630046960043,0.013729854334809092,0.9530891696816471,-0.27690698212171067,0.7818515312020777
tr,ols,m3,covid,7,0.06946454863521917,0.043667677954524795,0.913685660868124,-1.3039580333426701,0.1922478915835586
tr,ols,m3,post_covid,16,0.011720183486965456,0.00795123576879923,1.0126144129049528,0.35975733563866197,0.7190286110454829
tr,ols,m3,full,32,0.0347731706376056,0.01741058392023572,0.9230548961495929,-1.2438575255034914,0.21355200411503783
tr,var,m1,pre_crisis,8,0.044531782165474064,0.03294247824154861,2.338697573525415,1.798058071944703,0.07216780562224123
tr,var,m1,covid,7,0.13885105028755024,0.08962485863613745,1.9142183965394681,1.3019653893830088,0.1929282173902913
tr,var,m1,post_covid,16,0.02789259696782579,0.023242846261528036,2.3882595822018686,3.7094420772385606,0.00020771646956863066
tr,var,m1,full,32,0.07144759781998948,0.03974616426178018,1.972585872397723,1.5599610010254328,0.11876909749662357
tr,var,m2,pre_crisis,8,0.03926855094769211,0.02875218910558121,2.0622858630712746,1.5549818622909795,0.11995038910246625
tr,var,m2,covid,7,0.11957983203222762,0.08004582304487061,1.6485429088015595,1.3393221156508175,0.18046583209391187
tr,var,m2,post_covid,16,0.028861355626039222,0.024369834470638438,2.471208012962477,3.072738410571347,0.0021210432891876074
tr,var,m2,full,32,0.06275631298860056,0.037394765909258415,1.732629510049795,1.714846829849756,0.08637331308774843
tr,var,m3,pre_crisis,8,0.017103508426900754,0.01198359775038155,0.9201226109937132,-0.21090350119285028,0.8329625720206553
tr,var,m3,covid,7,0.0444741166975592,0.0296404912787565,0.5849798710954689,-1.1863695413559805,0.23547639475335203
tr,var,m3,post_covid,16,0.020685149670415036,0.01635304472581684,1.787180270057502,1.8531672342423358,0.06385839245028624
tr,var,m3,full,32,0.026951563133360574,0.018111822496140503,0.7154300816684563,-0.9493878529168793,0.3424233860777166
tr,lasso,m1,pre_crisis,8,0.011512393170776763,0.009925997164945174,0.6046020317336552,-1.02488600309944,0.3054169797238804
tr,lasso,m1,covid,7,0.09732815515542154,0.06490122465959278,1.341778436057393,1.1519837502428505,0.2493277508306604
tr,lasso,m1,post_covid,16,0.01943427151220313,0.01499403518283402,1.6640288179573504,3.043194554675946,0.0023408094129024892
tr,lasso,m1,full,32,0.04824433719515885,0.025196817621423635,1.3319705753317423,1.2459810930894772,0.21277133648914237
tr,lasso,m2,pre_crisis,8,0.013820558654799744,0.012702816777120075,0.7258210971804646,-0.8181197023346581,0.4132888397192187
tr,lasso,m2,covid,7,0.08556466476939632,0.052473753634048055,1.1796054481123126,0.6381043601924016,0.5234057484657171
tr,lasso,m2,post_covid,16,0.02299194783633495,0.017571314901586393,1.9686492368190813,2.896969404738769,0.0037678649898871264
tr,lasso,m2,full,32,0.04388904163137251,0.02406859025187598,1.2117258818588181,0.8973898190088216,0.3695109432800989
tr,lasso,m3,pre_crisis,8,0.014414091494356933,0.011680447670414824,0.7754392356149615,-1.7563904239189019,0.07902176683092166
tr,lasso,m3,covid,7,0.06331370081175088,0.03934768494541298,0.8327819255254094,-1.6363707247457708,0.101762022322059
tr,lasso,m3,post_covid,16,0.01346692095384231,0.009714109662591319,1.1635311230816936,1.1542720375811621,0.24838865673836885
tr,lasso,m3,full,32,0.03201136451137702,0.016788372341428916,0.8497426666264593,-1.5159489761344664,0.12953225479931096
tr,ridge,m1,pre_crisis,8,0.011949190205602799,0.010234828680858975,0.6275415171033369,-0.928158226381527,0.353325499825329
tr,ridge,m1,covid,7,0.0914059412410033,0.05996826005653326,1.2601340350986352,1.065730725775715,0.28654538395413565
tr,ridge,m1,post_covid,16,0.018073053102682538,0.014405883141081311,1.5474766405549696,3.138953233602084,0.0016955250513894793
tr,ridge,m1,full,32,0.04541166003812691,0.023933554577415632,1.2537636221028456,1.168549440941109,0.24258520852376186
tr,ridge,m2,pre_crisis,8,0.013151903952174563,0.010780223891807663,0.6907050282851065,-0.8994303152228612,0.3684234978429304
tr,ridge,m2,covid,7,0.07204943842114762,0.04760240941240488,0.9932828034104146,-0.06167587824340882,0.9508209497629485
tr,ridge,m2,post_covid,16,0.0189417539539094,0.012697265190786323,1.6218577795504754,1.6570953618175692,0.0975001967299225
tr,ridge,m2,full,32,0.03722517568436098,0.020384038622361343,1.0277442194417574,0.29238326630009603,0.7699936010844881
tr,ridge,m3,pre_crisis,8,0.014759094715020347,0.011573044635693211,0.7939994781263037,-2.353374347269905,0.018603894327054116
tr,ridge,m3,covid,7,0.06357892597026901,0.039999947627008425,0.8362705024902158,-1.5014368421120172,0.13324261079275979
tr,ridge,m3,post_covid,16,0.013118921767960187,0.009105348633738375,1.1334642737277278,1.0581042887319543,0.2900078993921438
tr,ridge,m3,full,32,0.03205486223125116,0.01648932578156079,0.8508973149534586,-1.4425104929038481,0.14915841363854154
tr,elasticnet,m1,pre_crisis,8,0.011829799054527402,0.009787830030130024,0.6212713931212585,-0.9517023799932468,0.34124794202122843
tr,elasticnet,m1,covid,7,0.0989327818305821,0.06694467119105871,1.3639000253057945,1.1737856896802603,0.240480877335437
