series,classification,tests_passed,n_obs,ADF_p,KPSS_p,PP_p,ZA_p
1week-repo,INCONCLUSIVE,2,191,0.0379,0.0363,0.6727,0.0011
hh_pmt_r,INCONCLUSIVE,2,131,0.6012,0.1,0.0,0.1366
hh_pmt,INCONCLUSIVE,2,131,0.9567,0.091,0.0,0.1492
card_pmt_i_r,INCONCLUSIVE,2,131,0.1722,0.1,0.0,0.1275
card_pmt_i,INCONCLUSIVE,2,131,0.8654,0.0919,0.0,0.2457
fin_acc,INCONCLUSIVE,2,494,0.0267,0.0197,0.0,0.0774
card_trans,INCONCLUSIVE,2,145,0.7353,0.1,0.0,0.0646
cpi_sa,STATIONARY,3,254,0.0099,0.0173,0.0,0.0009
ngdprsaxdctrq,STATIONARY,4,123,0.0,0.1,0.0,0.0008
non_fin_firms_credits,STATIONARY,4,220,0.0023,0.1,0.0,0.0215
household_credits,STATIONARY,3,220,0.0431,0.01,0.0,0.0464
tax,STATIONARY,4,242,0.0,0.1,0.0,0.0009
exp_ind_auto,STATIONARY,4,157,0.0,0.1,0.0,0.0009
exp_ind_dg,STATIONARY,4,157,0.0,0.1,0.0,0.0008
imp_ind_auto,STATIONARY,4,157,0.0,0.1,0.0,0.001
imp_ind_dg,STATIONARY,4,157,0.0,0.1,0.0,0.0009
maden_ciro_endeksi_sa,STATIONARY,4,251,0.0,0.1,0.0,0.0007
reer,STATIONARY,4,386,0.0,0.1,0.0,0.0009
sanayi_ins_tic_ciro_sa,STATIONARY,4,203,0.0,0.1,0.0,0.0008
tourist,STATIONARY,3,589,0.004,0.01,0.0013,0.0268
auto_exp_vol_i,STATIONARY,4,157,0.0,0.1,0.0,0.0009
dg_exp_vol_i,STATIONARY,4,157,0.0,0.1,0.0,0.0008
auto_imp_vol_i,STATIONARY,4,157,0.0,0.1,0.0,0.0009
dg_imp_vol_i,STATIONARY,4,157,0.0,0.1,0.0,0.0009
resmi_rezerv_var,STATIONARY,4,541,0.0005,0.1,0.0,0.001
doviz_rezerv_var,STATIONARY,4,541,0.0,0.1,0.0,0.0009
altin_rezerv_var,STATIONARY,4,541,0.0,0.1,0.0,0.0005
m3,STATIONARY,3,242,0.0,0.0149,0.0,0.0007
is_ekon_ciro_sa,STATIONARY,4,203,0.0,0.1,0.0,0.0009
bist100,STATIONARY,3,435,0.024,0.01,0.0,0.001
ipi_sa,STATIONARY,4,481,0.0,0.1,0.0,0.0008
auto_prod,STATIONARY,4,626,0.0,0.1,0.0,0.0009
cur_sa,STATIONARY,4,232,0.0165,0.1,0.0088,0.0059
elec_prod,STATIONARY,4,123,0.0,0.1,0.0,0.0009
elec_cons,STATIONARY,4,123,0.0,0.1,0.0,0.0009
usd_try_avg,STATIONARY,3,555,0.0,0.01,0.0,0.0008
ppi,STATIONARY,3,530,0.0004,0.01,0.0,0.0014
exp_vol_i,STATIONARY,4,157,0.0,0.1,0.0,0.0009
imp_vol_i,STATIONARY,4,157,0.0,0.1,0.0,0.0009
retail_sales_sa,STATIONARY,4,167,0.0259,0.1,0.0,0.0105
retail_sales_nsa,STATIONARY,4,167,0.0,0.1,0.0,0.0008
house_sales_sa,STATIONARY,4,159,0.0,0.1,0.0,0.0009
commprop_sales_sa,STATIONARY,4,158,0.0,0.1,0.0,0.0009
total_prop_sales,STATIONARY,4,159,0.0,0.1,0.0,0.0009
loans,STATIONARY,3,220,0.0045,0.038,0.0,0.0113
bus_conf,STATIONARY,4,232,0.0014,0.1,0.002,0.0169
empl_num,STATIONARY,4,253,0.0279,0.1,0.0,0.0446
unemp_num,STATIONARY,4,253,0.0,0.1,0.0,0.0007
emp_rate,STATIONARY,4,253,0.0111,0.1,0.0,0.0311
unemp_rate,STATIONARY,4,253,0.0,0.1,0.0,0.001
real_gdp_i,STATIONARY,3,123,0.0095,0.1,0.0,0.1176
consu_i,STATIONARY,4,291,0.0004,0.1,0.0,0.022
total_prod,STATIONARY,4,626,0.0,0.1,0.0,0.0009
cons_conf,STATIONARY,4,171,0.0,0.1,0.0,0.0009
deposit_i,STATIONARY,4,291,0.0002,0.1,0.0,0.0075
